timestamp,open,high,low,close,volume
2026-08-11 20:00:00+00:00,63537.9,63749.9,63537.9,63743.5,4.79275737
2026-08-11 21:00:00+00:00,63741.7,63760.0,63617.6,63684.1,1.01858088
2026-08-11 22:00:00+00:00,63686.1,63759.3,63639.2,63677.3,2.20462592
2026-08-11 23:00:00+00:00,63670.9,63670.9,63569.6,63603.7,1.11908447
2026-08-12 00:00:00+00:00,63603.5,63723.6,63557.0,63723.5,3.35726391
2026-08-12 01:00:00+00:00,63723.6,63849.9,63702.6,63817.3,4.12166596
2026-08-12 02:00:00+00:00,63832.6,63899.9,63734.1,63734.1,2.93575813
2026-08-12 03:00:00+00:00,63734.2,63844.7,63713.4,63797.4,0.67377954
2026-08-12 04:00:00+00:00,63822.7,63854.4,63734.1,63775.2,0.37688659
2026-08-12 05:00:00+00:00,63775.2,63869.3,63736.0,63862.4,0.25459456
2026-08-12 06:00:00+00:00,63845.5,63845.5,63607.5,63697.6,0.51940798
2026-08-12 07:00:00+00:00,63699.7,63822.7,63670.8,63822.7,0.8135075
2026-08-12 08:00:00+00:00,63835.7,63853.2,63789.3,63801.9,0.81934852
2026-08-12 09:00:00+00:00,63789.3,64095.0,63785.1,64087.9,4.94940522
2026-08-12 10:00:00+00:00,64095.0,64199.9,64065.9,64153.0,4.17684242
2026-08-12 11:00:00+00:00,64155.3,64248.4,64103.5,64234.5,1.8469003
2026-08-12 12:00:00+00:00,64239.9,64520.4,63987.3,64113.9,8.18444931
2026-08-12 13:00:00+00:00,64123.7,64158.6,63852.9,63852.9,6.24713938
2026-08-12 14:00:00+00:00,63852.9,63900.0,63385.0,63385.1,11.27980065
2026-08-12 15:00:00+00:00,63385.0,63566.4,63338.6,63434.6,7.9524603
2026-08-12 16:00:00+00:00,63444.7,63569.5,63375.0,63493.6,1.00454044
2026-08-12 17:00:00+00:00,63493.6,63537.8,63433.3,63468.3,2.47982655
2026-08-12 18:00:00+00:00,63485.5,63527.3,63380.9,63380.9,2.31243162
2026-08-12 19:00:00+00:00,63399.5,63443.0,63325.4,63421.7,1.84654955
2026-08-12 20:00:00+00:00,63431.0,63569.6,63431.0,63569.6,0.67105281
