timestamp,open,high,low,close,volume
2026-08-11 20:00:00+00:00,1882.67,1884.79,1879.91,1880.2,26.00011388
2026-08-11 21:00:00+00:00,1881.86,1885.6,1880.93,1883.83,10.92997808
2026-08-11 22:00:00+00:00,1884.94,1887.09,1880.09,1882.49,28.74229977
2026-08-11 23:00:00+00:00,1881.89,1884.07,1879.25,1882.84,17.23932932
2026-08-12 00:00:00+00:00,1882.9,1883.06,1881.02,1882.9,30.44899702
2026-08-12 01:00:00+00:00,1883.08,1886.0,1881.29,1884.83,28.56158315
2026-08-12 02:00:00+00:00,1885.01,1887.29,1883.91,1884.23,17.66069134
2026-08-12 03:00:00+00:00,1885.19,1886.83,1883.36,1886.83,29.52482673
2026-08-12 04:00:00+00:00,1886.83,1893.17,1886.4,1889.82,22.98685004
2026-08-12 05:00:00+00:00,1889.88,1892.34,1887.08,1891.7,3.0560069
2026-08-12 06:00:00+00:00,1891.31,1891.31,1885.68,1886.49,3.00480337
2026-08-12 07:00:00+00:00,1888.0,1891.24,1887.04,1891.03,11.90169725
2026-08-12 08:00:00+00:00,1891.49,1895.86,1890.94,1890.94,12.40275291
2026-08-12 09:00:00+00:00,1890.91,1908.99,1890.91,1904.5,48.88616208
2026-08-12 10:00:00+00:00,1905.48,1914.66,1905.48,1909.94,95.06269651
2026-08-12 11:00:00+00:00,1910.31,1915.93,1908.01,1915.54,34.7919789
2026-08-12 12:00:00+00:00,1916.12,1924.85,1905.93,1911.19,95.036488
2026-08-12 13:00:00+00:00,1911.36,1911.5,1900.37,1903.98,101.81264547
2026-08-12 14:00:00+00:00,1900.0,1903.3,1885.89,1885.89,106.26681509
2026-08-12 15:00:00+00:00,1886.49,1895.66,1884.7,1893.71,41.74313705
2026-08-12 16:00:00+00:00,1893.01,1895.37,1889.43,1890.73,53.16219969
2026-08-12 17:00:00+00:00,1890.65,1891.12,1885.33,1887.99,77.9606874
2026-08-12 18:00:00+00:00,1887.67,1890.33,1885.74,1886.67,52.79983579
2026-08-12 19:00:00+00:00,1885.53,1886.64,1877.91,1880.23,46.67831101
2026-08-12 20:00:00+00:00,1879.45,1887.56,1878.09,1886.17,4.86546061
2026-08-12 21:00:00+00:00,1886.89,1888.5,1873.83,1878.0,46.53740469
2026-08-12 22:00:00+00:00,1877.4,1880.98,1877.16,1878.07,31.26201078
2026-08-12 23:00:00+00:00,1878.59,1880.85,1875.83,1879.87,16.65360926
2026-08-13 00:00:00+00:00,1880.01,1885.15,1877.38,1881.71,39.92708954
2026-08-13 01:00:00+00:00,1880.2,1882.64,1875.46,1878.33,43.74459532
